Demgraphic  infromation,Gender,Age,Marital Status,Are you living with Family?,Where do you live in Dhaka?,Type of your current living place? ,"How safe do you think your current place is from vector borne (Dengue, Malaria, Chikungunya, Kala-azar, Filariasis) diseases?",Which vector borne diseases  you had before?,What is your Education level? ,"Which media you use most for vector borne diseases (Dengue, Malaria, Chikungunya, Kala-azar, Filariasis) and precautionary measures related information? ",Which one you use most to reduce mosquito?,"Do you think COVID-19 Pandemic has negative impact on Vector borne disease, such as dengue and Chikungunya surveillance activities?  ",What is your present occupation status?,Do you belive Climate Change?,"Do you k0w that climate change (temperature, rainfall change) can affect on the number of vector, such as 0and 0transmitting  mosquito?",Which vector borne disease is 0t transmitted by mosquito? ,Do you k0w vector borne disease such as 0and 0is an infectious disease? ,Do you k0w 0fever can cause death?,"Do you k0w the Common Symptoms of 0and 0infection are Rash, Headache, High Fever, Joint Pain, Muscle Pain, Nausea ? ",Do you k0w that people can have 0or 0virus even without any (or mild symptoms) symptoms? ,Do you k0w one person can be infected with 0 virus more than once ? ,Do you k0w second time 0infection can be severe?,Do you k0w 0virus can be transmitted from infected pregnant mother to fetus? ,By which type of Aedes  mosquito 0and 0virus is transmitted ?,Does Aedes mosquito has stripes on the body?,Do you k0w where Aedes mosquitoes breed ? ,Aedes mosquito can breed both indoor and outdoor,Aedes  Mosquito likes to bite early in the morning and late evening,Do you k0w health call center number (16263) from Directorate General of Health Service? ,I should be careful about climate change and the effect of it on vector borne diseases,Climate Change Awareness program is required to reduce vector borne disesase outbreak ,"There should be early warning system for climate change problem (extreme heat, heavy rainfall, flood, drought) and its impact on vector borne disease",It is my responsibility to make sure there are no Aedes eggs and/or larvae in my house area,"My family members and neighbors should clean mosquito breeding site like water containers, storage tank, Plant pot one to three times a week.  ","Only chemical fogging by the authority is not enough to prevent vector borne diseases such as, Dengue and Chikungunya infection,  authority should also demolish the potential breeding sites. ",We should check Dengue and Chikungunya situation or hotspots around our area regularly ,It is necessary to continue the removal of mosquito breeding sites even during the period when there is no outbreak.  ,Dengue and Chikungunya outbreak in my community can be controlled if every household is committed to remove mosquito breeding sites ,I will take part in a public activity for Dengue and Chikungunya control or removal of mosquito breeding sites ,"If my family member has symptom of dengue and Chikungunya fever, I will bring him/her to see a doctor for immediate treatment ",I am concerned about vector borne diseases (such as dengue and Chikungunya) even in the Coronavirus pandemic time  ,"I follow practices (proper use of water, electricity, waste management) to lessen the climate change risk","I follow trusted sources, such as national and international media, local and national authorities for climate change and its impact on vector borne diseases ",I Call Municipality  authority for fogging.,I follow different ways (aerosol and/or liquid mosquito repellent and/or mosquito coil and/or electrical mosquito mat and/or mosquito bed net) to reduce mosquito,I wear proper cloth to protect from mosquito biting ,"I take extra precautions when I travel, to protect from mosquito biting ",I properly cover  Water containers used for water storage,"I keep the water-holding containers (tires, plastic bottles, parts of automobiles, cracked pots, plant pots) clear and drain the extra water  ",I scrub and clean the inner sides of the containers ,I Check for the presence of Aedes eggs and/or larvae inside or outside the house ,I visit hospital for test and treatment when I see symptoms of Dengue and Chikungunya ,I follow these vector borne diseases reduction practices even in the Coronavirus pandemi,Knowledge,Attitude,Pracitce,KAP,K_mean_sd,A_mean_sd,P_mean_sd,KAP_mean_sd,k_score,A_score,P_score
,Male,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,Dengue ,Higher Secondary ,Social Media,Mosquito nets ,Maybe ,Employed ,1,1,0,1,0.5,1,1,1,1,1,1,1,1,1,1,0,4,5,4,5,5,4,5,4,5,5,4,5,1,0,0,1,0,0,0,0,0,0,0,1,0.84,0.92,0.25,0.67,,,,,13.5,55,2
,Male,18-25 years,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,None ,Higher Secondary ,Social Media,Mosquito nets ,Yes,Employed ,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,4,5,4,3,3,4,3,3,4,4,3,4,0,1,0,1,0,0,1,1,0,0,0,1,0.75,0.73,0.42,0.63,,,,,12,44,5
,Male,26-35 years ,"Other: Separated, Divorced ",No,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,None ,Primary ,"Electronic media (TV, Radio)",Mosquito nets ,Maybe ,Business ,0.5,0,0,0,1,1,0.5,0.5,0.5,0.5,1,1,1,1,1,0,4,3,4,4,4,4,3,4,4,3,3,3,0,1,0,1,0,0,0,0,0,0,0,1,0.59,0.72,0.25,0.52,,,,,9.5,43,3
,Female,26-35 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Very Unsafe,Chikungunya ,Primary ,"Electronic media (TV, Radio)",Mosquito nets ,Yes,Employed ,1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1,1,0,4,5,4,5,4,5,5,4,5,4,5,3,1,1,0,1,1,0,1,1,1,0,0,1,0.84,0.88,0.67,0.8,,,,,13.5,53,7
,Male,26-35 years ,Unmarried ,Yes,Dhaka South City Corporation ,More than 5 story building ,Unsafe ,None ,Tertiary (University/National University) ,Social Media,Mosquito repellent/aerosol ,No ,Employed ,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,4,4,5,4,5,5,5,5,4,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,0.94,0.92,1,0.95,,,,,15,55,11
,Female,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Slum Area ,Unsafe ,None ,Secondary ,"Electronic media (TV, Radio)",Mosquito coil,Maybe ,Employed ,0.5,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,0,1,5,4,5,4,5,4,4,3,4,3,4,4,1,0,1,1,1,0,1,1,1,0,1,1,0.63,0.82,0.75,0.73,,,,,10,49,8
,Male,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Slum Area ,Safe ,None ,Secondary ,Social Media,Mosquito nets ,Yes,Unemployed ,1,1,0,1,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,3,3,4,2,3,5,5,4,3,3,4,4,1,1,0,1,1,0,0,0,0,0,1,1,0.75,0.72,0.5,0.66,,,,,12,43,5
,Male,18-25 years,Unmarried ,No,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,Dengue ,Secondary ,Social Media,Mosquito nets ,Yes,Employed ,1,1,0,1,1,1,0.5,0.5,0.5,0.5,0,0.5,1,1,1,0,4,3,4,3,4,3,2,3,2,2,3,4,1,1,0,1,0,0,0,0,0,0,1,1,0.66,0.62,0.42,0.56,,,,,10.5,37,4
,Male,36-45 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,None ,None ,"Electronic media (TV, Radio)",Mosquito coil,Yes,Business ,0,0.5,0,0.5,1,1,0.5,0.5,0.5,0.5,1,1,1,1,1,0,4,5,4,5,3,5,4,3,5,3,4,5,1,1,0,1,0,0,0,0,0,0,0,0,0.63,0.83,0.25,0.57,,,,,10,50,2
,Male,36-45 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,None ,None ,"Electronic media (TV, Radio)",Mosquito nets ,Yes,Employed ,0,0.5,0,0.5,1,1,0,0,1,0.5,1,1,1,1,1,0.5,4,5,4,3,5,4,3,5,3,5,3,5,0,0,0,1,0,0,1,1,1,0,1,1,0.63,0.82,0.5,0.65,,,,,10,49,6
,Male,18-25 years,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,Chikungunya ,None ,"Electronic media (TV, Radio)",Mosquito nets ,Yes,Unemployed ,0,0.5,0,0.5,1,1,1,0.5,0.5,0.5,1,1,1,1,1,0.5,4,5,4,5,4,5,4,5,4,5,4,5,1,0,0,1,0,1,1,0,1,0,1,1,0.69,0.9,0.58,0.72,,,,,11,54,6
,Female,18-25 years,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,Malaria ,None ,"Electronic media (TV, Radio)",Mosquito coil,Yes,Employed ,0,0.5,0,0.5,1,1,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,0,4,3,4,5,4,4,5,3,5,3,4,5,1,0,1,1,1,1,1,1,1,0,1,1,0.56,0.82,0.83,0.74,,,,,9,49,9
,Male,26-35 years ,"Other: Separated, Divorced ",No,Dhaka North City Corporation ,Slum Area ,Safe ,Dengue ,Secondary ,Social Media,Mosquito nets ,Yes,Employed ,1,1,0,1,0.5,1,0.5,0.5,0.5,0.5,1,1,1,1,1,1,4,5,4,5,5,4,4,3,4,5,4,4,1,1,0,1,0,0,1,0,1,0,1,1,0.78,0.85,0.58,0.74,,,,,12.5,51,6
,Female,More than 45 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Unsafe ,None ,None ,"People (Community, Family Members)",Mosquito coil,Yes,Unemployed ,0,0.5,0,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,4,3,4,3,4,4,2,3,3,4,4,3,1,0,0,1,0,0,1,1,0,0,1,1,0.41,0.68,0.5,0.53,,,,,6.5,41,5
,Male,26-35 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Safe ,None ,None ,"People (Community, Family Members)",Mosquito nets ,Maybe ,Business ,0,0.5,0,0.5,0,1,1,0.5,0.5,0.5,0,1,1,1,1,0,4,3,3,2,3,2,2,4,2,3,2,2,1,0,0,1,0,0,0,0,0,0,1,1,0.53,0.53,0.33,0.47,,,,,8.5,32,3
,Male,18-25 years,Unmarried ,No,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,None ,None ,"Electronic media (TV, Radio)",Mosquito coil,Yes,Employed ,0,0.5,0,1,0.5,1,1,0,0,0.5,1,0.5,1,1,0.5,0,4,3,3,4,3,4,2,4,3,3,2,4,1,0,0,0,0,0,1,0,0,0,1,1,0.53,0.65,0.33,0.5,,,,,8.5,39,3
,Female,26-35 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Unsafe ,None ,Primary ,"Electronic media (TV, Radio)",Mosquito nets ,No ,Business ,0.5,0,0,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,1,0,4,2,2,3,1,1,2,3,3,3,4,3,0,0,0,1,0,0,1,0,1,0,0,1,0.59,0.52,0.33,0.48,,,,,9.5,31,4
,Female,More than 45 years ,"Other: Separated, Divorced ",Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,None ,None ,"Electronic media (TV, Radio)",Mosquito nets ,No ,Business ,0.5,1,0,0,1,1,0,1,0.5,0,1,1,0,1,0.5,0,4,3,2,2,2,3,3,2,4,5,4,4,1,1,0,1,1,0,1,1,1,1,1,1,0.53,0.63,0.83,0.67,,,,,8.5,38,9
,Female,More than 45 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Unsafe ,Dengue ,None ,"Electronic media (TV, Radio)",Mosquito coil,Maybe ,Unemployed ,0,1,0,1,1,1,0.5,0.5,0.5,0.5,1,1,1,1,1,0,4,5,3,4,5,4,3,3,4,3,4,4,1,1,0,1,1,1,1,1,1,1,1,1,0.69,0.77,0.92,0.79,,,,,11,46,10
,Female,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Slum Area ,Unsafe ,None ,Primary ,"Electronic media (TV, Radio)",Mosquito nets ,Yes,Unemployed ,0.5,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,4,5,4,3,4,4,4,3,4,3,4,4,1,1,0,1,0,0,1,1,1,0,0,1,0.66,0.77,0.58,0.67,,,,,10.5,46,6
,Male,18-25 years,Unmarried ,Yes,Dhaka South City Corporation ,Slum Area ,Moderately Safe ,Dengue ,Secondary ,Social Media,Mosquito nets ,Yes,Unemployed ,1,1,0,1,1,1,1,0.5,0.5,0.5,1,1,1,0,1,1,4,5,4,5,4,3,5,3,5,4,3,4,0,0,0,1,1,0,1,1,0,0,1,1,0.78,0.82,0.5,0.7,,,,,12.5,49,6
,Female,More than 45 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Unsafe ,None ,None ,"People (Community, Family Members)",Mosquito coil,Yes,Business ,0.5,0,0,1,1,1,0.5,0.5,0.5,0.5,1,1,1,1,0.5,0,2,3,2,2,4,4,3,4,4,3,4,3,0,0,1,1,1,0,1,1,1,0,1,1,0.63,0.63,0.67,0.64,,,,,10,38,8
,Female,36-45 years ,"Other: Separated, Divorced ",Yes,Dhaka North City Corporation ,Slum Area ,Unsafe ,None ,None ,"Electronic media (TV, Radio)",Mosquito coil,Yes,Employed ,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,1,1,0,4,3,5,4,4,4,3,4,4,3,4,3,1,1,0,1,1,0,1,1,1,0,0,1,0.75,0.75,0.67,0.72,,,,,12,45,7
,Male,36-45 years ,"Other: Separated, Divorced ",No,Dhaka North City Corporation ,Slum Area ,Very Unsafe,None ,None ,"People (Community, Family Members)",Mosquito coil,Yes,Employed ,0.5,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,4,3,4,3,4,3,3,4,3,4,4,4,1,1,0,1,0,0,1,1,0,0,1,1,0.72,0.72,0.58,0.67,,,,,11.5,43,6
,Male,26-35 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Safe ,Dengue ,None ,"Electronic media (TV, Radio)",Mosquito coil,Yes,Unemployed ,0.5,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,4,4,5,5,4,5,5,4,5,5,4,5,1,1,0,1,0,0,0,0,0,0,1,1,0.66,0.92,0.42,0.66,,,,,10.5,55,4
,Male,26-35 years ,Married ,No,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,Chikungunya ,Primary ,Social Media,Mosquito coil,Yes,Employed ,0,0.5,0,1,0,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,0,4,4,5,5,5,4,5,3,4,5,4,5,0,0,0,1,1,0,0,0,0,1,1,1,0.56,0.88,0.42,0.62,,,,,9,53,5
,Male,26-35 years ,Married ,Yes,Dhaka South City Corporation ,"Mixed-use building (Shop, factory, office, and residence in the same building)",Unsafe ,None ,Higher Secondary ,Social Media,Mosquito repellent/aerosol ,Yes,Employed ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,4,4,5,5,5,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,0.97,,,,,16,54,11
,Female,26-35 years ,"Other: Separated, Divorced ",Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,Chikungunya ,Primary ,"Electronic media (TV, Radio)",Mosquito nets ,Yes,Employed ,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0,1,0,4,3,4,4,3,4,3,3,4,4,3,3,1,0,0,1,1,0,1,1,1,0,0,1,0.84,0.7,0.58,0.71,,,,,13.5,42,6
,Male,36-45 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,None ,None ,"People (Community, Family Members)",Mosquito nets ,Yes,Business ,0,0.5,0,1,1,1,0.5,0.5,0,0,1,1,1,1,1,0,3,4,3,4,3,4,3,2,4,4,2,3,0,0,0,1,0,0,0,0,0,0,0,1,0.59,0.65,0.17,0.47,,,,,9.5,39,2
,Male,More than 45 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,Malaria ,None ,"People (Community, Family Members)",Mosquito nets ,Yes,Business ,0,0.5,0,1,1,1,1,0.5,0.5,0.5,1,0.5,0,0.5,0.5,0,4,3,5,3,2,2,3,2,3,3,2,2,0,0,0,1,0,0,0,0,0,1,1,0,0.53,0.57,0.25,0.45,,,,,8.5,34,3
,Male,36-45 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,Dengue ,Primary ,"Electronic media (TV, Radio)",Mosquito nets ,Yes,Employed ,0,1,0,1,1,1,1,0.5,0.5,1,1,0.5,0,0.5,0.5,0,3,2,4,2,4,3,4,3,2,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0.59,0.55,0.17,0.44,,,,,9.5,33,1
,Male,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,None ,Secondary ,Social Media,Mosquito coil,Yes,Unemployed ,1,1,0,1,1,1,0.5,0,0,0,1,1,1,0.5,0.5,0,5,1,2,3,3,2,1,3,3,2,3,3,0,1,0,1,0,0,0,0,0,0,0,1,0.59,0.52,0.25,0.45,,,,,9.5,31,3
,Male,26-35 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,Dengue ,Secondary ,Social Media,Mosquito nets ,Yes,Employed ,1,1,0,1,1,1,1,0.5,0.5,0.5,1,1,1,1,0,0,4,3,3,2,2,2,2,2,2,2,2,2,1,1,0,1,1,1,1,0,0,0,1,1,0.72,0.47,0.67,0.62,,,,,11.5,28,7
,Male,18-25 years,Unmarried ,No,Dhaka North City Corporation ,Slum Area ,Unsafe ,Chikungunya ,Primary ,"Electronic media (TV, Radio)",Mosquito coil,Maybe ,Employed ,0,0.5,0,1,1,1,1,0,1,1,1,0.5,0,1,0,0,3,2,4,3,3,4,4,3,3,2,4,3,1,1,0,1,0,0,0,0,0,0,1,1,0.56,0.63,0.42,0.54,,,,,9,38,4
,Male,18-25 years,Unmarried ,No,Dhaka North City Corporation ,Slum Area ,Very Unsafe,None ,Secondary ,Social Media,Mosquito coil,Yes,Employed ,0.5,1,0,1,1,1,1,0.5,0.5,0.5,1,0.5,0,1,0,1,3,4,2,2,3,4,4,3,2,2,3,3,0,1,0,1,0,0,0,0,0,0,1,1,0.66,0.58,0.33,0.52,,,,,10.5,35,4
,Male,26-35 years ,Married ,No,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,Dengue ,Primary ,"Electronic media (TV, Radio)",Mosquito coil,Maybe ,Business ,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,4,3,4,3,3,4,2,4,3,4,3,2,1,0,0,1,0,0,0,0,0,0,1,1,0.5,0.65,0.33,0.49,,,,,8,39,3
,Male,18-25 years,Unmarried ,No,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,None ,Secondary ,Social Media,Mosquito coil,Yes,Business ,1,1,0,1,1,1,1,0.5,0.5,0.5,0,1,0,1,1,1,5,4,3,4,2,3,2,4,2,3,2,3,1,0,0,1,0,0,0,0,0,0,0,1,0.72,0.62,0.25,0.53,,,,,11.5,37,2
,Male,26-35 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Unsafe ,None ,None ,"People (Community, Family Members)",Mosquito nets ,Yes,Business ,0,1,0,0.5,1,1,1,1,1,0.5,1,1,0,0.5,1,0,4,3,4,5,4,3,2,2,2,3,2,2,0,0,0,1,1,0,0,1,0,0,1,1,0.66,0.6,0.42,0.56,,,,,10.5,36,5
,Female,26-35 years ,Married ,Yes,Dhaka South City Corporation ,More than 5 story building ,Unsafe ,None ,Tertiary (University/National University) ,Social Media,Mosquito repellent/aerosol ,No ,Business ,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,4,5,4,4,4,4,4,4,5,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,0.94,0.85,1,0.93,,,,,15,51,11
,Male,36-45 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Unsafe ,Dengue ,None ,"People (Community, Family Members)",Mosquito coil,Yes,Business ,0,1,0,1,1,1,1,1,0,0,1,0,0,0.5,0,0,4,5,3,2,2,3,2,3,3,3,2,3,0,1,1,0,1,0,0,1,0,0,0,1,0.47,0.58,0.42,0.49,,,,,7.5,35,5
,Male,36-45 years ,Married ,No,Dhaka South City Corporation ,Slum Area ,Moderately Safe ,Malaria ,None ,"Electronic media (TV, Radio)",Mosquito nets ,Yes,Business ,0.5,1,0,1,1,1,1,0.5,0,0,1,0,1,0,0,1,4,3,4,3,4,3,2,2,2,2,3,3,1,0,1,0,0,0,0,1,0,1,0,0,0.56,0.58,0.33,0.49,,,,,9,35,3
,Male,18-25 years,Unmarried ,No,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,None ,None ,"People (Community, Family Members)",Mosquito nets ,Yes,Business ,0.5,0.5,0,1,1,1,0,0,0,0,1,1,1,0,1,0,5,3,4,3,4,3,4,3,4,3,4,2,1,0,1,1,0,1,1,0,0,0,0,1,0.5,0.7,0.5,0.57,,,,,8,42,5
,Male,26-35 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Very Unsafe,None ,None ,"Electronic media (TV, Radio)",Mosquito nets ,No ,Business ,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,4,3,2,3,2,3,2,2,2,3,2,3,1,0,0,1,0,0,0,0,0,0,1,1,0.44,0.52,0.33,0.43,,,,,7,31,3
,Male,36-45 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,Dengue ,Secondary ,"Electronic media (TV, Radio)",Mosquito coil,Yes,Business ,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0,0.5,0.5,1,4,3,2,3,4,3,3,4,2,1,2,2,1,0,0,1,0,0,0,0,0,0,0,1,0.81,0.55,0.25,0.54,,,,,13,33,2
,Male,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Slum Area ,Safe ,None ,Secondary ,"Electronic media (TV, Radio)",Mosquito coil,Yes,Business ,0.5,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,3,2,2,2,2,3,2,2,3,2,2,2,1,0,0,1,0,0,0,0,0,0,1,1,0.41,0.45,0.33,0.4,,,,,6.5,27,3
,Male,18-25 years,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,None ,Secondary ,"Electronic media (TV, Radio)",Mosquito coil,Yes,Employed ,0,0.5,0,0.5,1,1,1,1,1,0,1,1,1,0,0,0,3,2,3,3,2,4,4,3,2,2,4,2,0,1,0,1,0,0,0,0,0,0,0,1,0.56,0.57,0.25,0.46,,,,,9,34,3
,Male,26-35 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,Dengue ,None ,"Electronic media (TV, Radio)",Mosquito coil,Yes,Business ,0,0.5,0,1,0,1,1,0.5,0.5,0.5,1,1,1,1,1,0,5,4,5,5,5,4,5,4,4,5,4,4,0,0,0,1,0,0,0,0,0,0,0,1,0.63,0.9,0.17,0.56,,,,,10,54,2
,Male,18-25 years,Unmarried ,Yes,Dhaka South City Corporation ,Slum Area ,Unsafe ,Dengue ,Secondary ,Social Media,Mosquito coil,Yes,Employed ,0,1,1,1,1,0.5,0.5,0.5,0.5,1,1,1,1,0,1,0,5,4,3,3,4,4,2,2,2,2,2,3,1,1,1,0,0,0,0,0,0,0,0,1,0.69,0.6,0.33,0.54,,,,,11,36,3
,Male,26-35 years ,Married ,No,Dhaka South City Corporation ,Slum Area ,Unsafe ,Dengue ,Primary ,"Electronic media (TV, Radio)",Mosquito nets ,Yes,Employed ,0.5,0.5,0,0,1,0,0,0,0,0.5,1,1,1,0,1,0,3,4,4,4,3,2,2,4,4,2,3,4,0,1,0,1,0,0,0,0,0,0,0,0,0.41,0.65,0.17,0.41,,,,,6.5,39,2
,Male,More than 45 years ,Married ,No,Dhaka North City Corporation ,Slum Area ,Unsafe ,None ,None ,"Electronic media (TV, Radio)",Mosquito coil,Yes,Business ,0,0.5,0,0.5,1,1,1,0,0,0,1,0,0,0,0,0.5,4,5,4,5,4,5,5,4,5,4,5,4,1,1,0,1,0,0,0,0,0,0,1,1,0.34,0.9,0.42,0.55,,,,,5.5,54,4
,Male,26-35 years ,Married ,No,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,Dengue ,Secondary ,"Electronic media (TV, Radio)",Mosquito coil,Yes,Employed ,1,1,0,1,1,1,0.5,0,0,0,1,1,1,0,0,1,4,3,3,2,2,3,4,4,5,5,4,5,1,0,0,1,1,0,1,0,0,0,1,1,0.59,0.73,0.5,0.61,,,,,9.5,44,5
,Male,26-35 years ,"Other: Separated, Divorced ",Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,Dengue ,Secondary ,"People (Community, Family Members)",Mosquito nets ,Yes,Employed ,0.5,1,1,1,1,1,1,0.5,1,1,0,0.5,1,1,1,0,4,3,3,2,2,2,2,4,2,4,2,4,1,1,0,1,0,1,1,1,0,0,1,1,0.78,0.57,0.67,0.67,,,,,12.5,34,7
,Male,36-45 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,None ,None ,"People (Community, Family Members)",Mosquito nets ,Yes,Business ,0.5,1,0,0.5,1,0.5,1,0,0,1,1,1,1,1,1,1,3,4,2,4,4,4,2,4,4,2,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0.72,0.65,0.25,0.54,,,,,11.5,39,2
,Male,26-35 years ,Married ,Yes,Dhaka South City Corporation ,Slum Area ,Unsafe ,None ,Primary ,"Electronic media (TV, Radio)",Mosquito coil,Maybe ,Business ,0.5,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,4,2,2,3,3,2,3,2,3,2,3,2,0,0,0,1,1,0,0,0,0,0,1,1,0.59,0.52,0.33,0.48,,,,,9.5,31,4
,Female,26-35 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Unsafe ,None ,None ,"Electronic media (TV, Radio)",Mosquito nets ,Yes,Employed ,0.5,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,5,4,3,3,3,4,3,2,3,4,4,3,1,1,0,0,1,1,1,0,1,1,1,1,0.53,0.68,0.75,0.65,,,,,8.5,41,8
,Female,18-25 years,Unmarried ,No,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,Dengue ,Secondary ,Social Media,Mosquito coil,Maybe ,Employed ,0.5,1,0,1,0.5,1,0,0,0,0,1,1,1,1,1,0,4,3,5,3,2,2,3,2,2,2,2,2,1,1,0,1,0,0,1,1,1,0,1,1,0.56,0.53,0.67,0.59,,,,,9,32,7
,Female,26-35 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,None ,None ,"Electronic media (TV, Radio)",Mosquito coil,Maybe ,Employed ,0.5,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,4,3,3,4,3,4,3,4,3,3,4,3,1,1,0,1,1,0,1,1,1,0,1,1,0.53,0.68,0.75,0.65,,,,,8.5,41,8
,Female,26-35 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,None ,None ,"People (Community, Family Members)",Mosquito nets ,Yes,Employed ,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,5,4,5,4,5,5,4,5,4,5,4,5,1,1,0,1,0,0,1,1,1,1,1,1,0.69,0.92,0.75,0.78,,,,,11,55,8
,Female,36-45 years ,Married ,Yes,Dhaka North City Corporation ,Slum Area ,Moderately Safe ,Dengue ,None ,"People (Community, Family Members)",Mosquito nets ,Yes,Employed ,0.5,1,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,1,0.5,0.5,0,4,5,5,5,4,4,5,4,4,3,5,4,1,1,0,1,0,0,1,1,1,1,1,1,0.5,0.87,0.75,0.71,,,,,8,52,8
,Female,18-25 years,Married ,Yes,Dhaka South City Corporation ,Slum Area ,Unsafe ,None ,Secondary ,Social Media,Mosquito coil,Maybe ,Unemployed ,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0.5,0,4,3,4,4,2,3,2,2,2,4,4,4,1,1,0,1,0,1,1,1,1,0,0,1,0.72,0.63,0.67,0.67,,,,,11.5,38,7
,Female,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Slum Area ,Unsafe ,None ,None ,"Electronic media (TV, Radio)",Mosquito coil,Yes,Employed ,0.5,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,4,5,3,5,5,4,4,4,3,4,3,4,1,1,0,1,0,1,1,1,0,0,0,1,0.59,0.8,0.58,0.66,,,,,9.5,48,6
